RANK,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,7821,7886,7756,2518,1892,1258,"0,775","0,736","0,109","0,534"
2,Denmark,7636,7710,7563,2226,1953,1243,"0,777","0,719","0,188","0,532"
3,Iceland,7557,7651,7464,2320,1936,1320,"0,803","0,718","0,270","0,191"
4,Switzerland,7512,7586,7437,2153,2026,1226,"0,822","0,677","0,147","0,461"
5,Netherlands,7415,7471,7359,2137,1945,1206,"0,787","0,651","0,271","0,419"
6,Luxembourg*,7404,7501,7307,2042,2209,1155,"0,790","0,700","0,120","0,388"
7,Sweden,7384,7454,7315,2003,1920,1204,"0,803","0,724","0,218","0,512"
8,Norway,7365,7440,7290,1925,1997,1239,"0,786","0,728","0,217","0,474"
9,Israel,7364,7426,7301,2634,1826,1221,"0,818","0,568","0,155","0,143"
10,New Zealand,7200,7279,7120,1954,1852,1235,"0,752","0,680","0,245","0,483"
11,Austria,7163,7237,7089,2148,1931,1165,"0,774","0,623","0,193","0,329"
12,Australia,7162,7244,7081,2011,1900,1203,"0,772","0,676","0,258","0,341"
13,Ireland,7041,7121,6961,1743,2129,1166,"0,779","0,627","0,190","0,408"
14,Germany,7034,7122,6947,2142,1924,1088,"0,776","0,585","0,163","0,358"
15,Canada,7025,7107,6943,1924,1886,1188,"0,783","0,659","0,217","0,368"
16,United States,6977,7065,6888,2214,1982,1182,"0,628","0,574","0,220","0,177"
17,United Kingdom,6943,7018,6867,1967,1867,1143,"0,750","0,597","0,289","0,329"
18,Czechia,6920,7029,6811,2263,1815,1260,"0,715","0,660","0,158","0,048"
19,Belgium,6805,6890,6720,2283,1907,1106,"0,764","0,492","0,049","0,204"
20,France,6687,6758,6615,1895,1863,1219,"0,808","0,567","0,070","0,266"
21,Bahrain,6647,6779,6514,2092,1854,1029,"0,625","0,693","0,199","0,155"
22,Slovenia,6630,6718,6542,1885,1810,1249,"0,769","0,685","0,118","0,115"
23,Costa Rica,6582,6683,6481,2346,1584,1054,"0,744","0,661","0,089","0,102"
24,United Arab Emirates,6576,6660,6492,1809,1998,"0,980","0,633","0,702","0,204","0,250"
25,Saudi Arabia,6523,6637,6409,2075,1870,1092,"0,577","0,651","0,078","0,180"
26,Taiwan Province of China,6512,6596,6429,2002,1897,1095,"0,733","0,542","0,075","0,168"
27,Singapore,6480,6569,6392,"0,932",2149,1127,"0,851","0,672","0,163","0,587"
28,Romania,6477,6575,6379,2446,1719,1006,"0,655","0,605","0,039","0,006"
29,Spain,6476,6560,6392,1893,1808,1211,"0,808","0,505","0,101","0,149"
30,Uruguay,6474,6562,6386,1974,1615,1180,"0,672","0,665","0,103","0,265"
31,Italy,6467,6570,6363,2222,1834,1052,"0,801","0,412","0,085","0,059"
32,Kosovo,6455,6571,6339,2631,1362,"0,949","0,569","0,599","0,309","0,035"
33,Malta,6447,6535,6359,1631,1838,1169,"0,789","0,679","0,174","0,166"
34,Lithuania,6446,6535,6356,2153,1804,1204,"0,659","0,496","0,053","0,077"
35,Slovakia,6391,6475,6306,2094,1736,1232,"0,707","0,479","0,118","0,025"
36,Estonia,6341,6415,6266,1442,1793,1232,"0,728","0,689","0,123","0,333"
37,Panama,6309,6464,6154,2086,1715,1107,"0,709","0,592","0,049","0,051"
38,Brazil,6293,6384,6202,2361,1462,1044,"0,615","0,546","0,131","0,134"
39,Guatemala*,6262,6460,6064,2746,1274,"0,831","0,522","0,662","0,112","0,115"
40,Kazakhstan,6234,6330,6138,1860,1668,1220,"0,611","0,584","0,134","0,157"
41,Cyprus,6221,6320,6122,2044,1815,"0,909","0,819","0,448","0,123","0,062"
42,Latvia,6180,6255,6106,1923,1732,1221,"0,637","0,502","0,075","0,090"
43,Serbia,6178,6294,6062,2031,1550,1086,"0,658","0,546","0,219","0,088"
44,Chile,6172,6262,6082,2040,1651,1080,"0,748","0,460","0,124","0,069"
45,Nicaragua,6165,6312,6017,2418,1105,1029,"0,617","0,617","0,168","0,212"
46,Mexico,6128,6238,6017,2239,1552,"0,886","0,623","0,621","0,092","0,115"
47,Croatia,6125,6229,6022,1884,1705,1183,"0,709","0,535","0,109","0,000"
48,Poland,6123,6205,6040,1693,1758,1174,"0,712","0,523","0,124","0,140"
49,El Salvador,6120,6250,5990,2514,1265,"0,768","0,607","0,666","0,089","0,212"
50,Kuwait*,6106,6235,5977,1621,1904,"0,983","0,747","0,617","0,087","0,147"
51,Hungary,6086,6187,5985,1812,1748,1233,"0,668","0,485","0,078","0,064"
52,Mauritius,6071,6184,5958,1969,1591,1116,"0,568","0,589","0,131","0,107"
53,Uzbekistan,6063,6178,5948,1913,1219,1092,"0,600","0,716","0,283","0,240"
54,Japan,6039,6119,5959,1487,1835,1089,"0,866","0,537","0,007","0,218"
55,Honduras,6022,6189,5855,2611,1111,"0,885","0,555","0,582","0,202","0,076"
56,Portugal,6016,6122,5911,1691,1760,1078,"0,777","0,655","0,016","0,039"
57,Argentina,5967,6090,5844,1891,1592,1102,"0,662","0,555","0,081","0,085"
58,Greece,5948,6043,5853,2119,1703,"0,980","0,774","0,249","0,015","0,108"
59,South Korea,5935,6021,5849,1656,1851,"0,886","0,841","0,414","0,111","0,176"
60,Philippines,5904,6007,5800,2283,1268,"0,912","0,514","0,678","0,107","0,142"
61,Thailand,5891,5994,5788,1600,1535,1096,"0,697","0,617","0,321","0,026"
62,Moldova,5857,5948,5766,2142,1417,1008,"0,597","0,561","0,102","0,028"
63,Jamaica,5850,6023,5676,2164,1296,1045,"0,646","0,567","0,080","0,053"
64,Kyrgyzstan,5828,5916,5741,2087,1069,1109,"0,638","0,693","0,208","0,025"
65,Belarus*,5821,5950,5693,1811,1562,1157,"0,629","0,342","0,040","0,282"
66,Colombia,5781,5903,5659,1971,1452,"0,929","0,720","0,545","0,087","0,077"
67,Bosnia and Herzegovina,5768,5877,5659,1869,1468,1068,"0,665","0,448","0,244","0,006"
68,Mongolia,5761,5845,5676,1999,1393,1197,"0,467","0,398","0,247","0,059"
69,Dominican Republic,5737,5873,5601,1751,1538,1003,"0,577","0,606","0,084","0,179"
70,Malaysia,5711,5845,5578,1471,1689,"0,938","0,620","0,654","0,213","0,126"
71,Bolivia,5600,5709,5491,2107,1256,"0,880","0,555","0,627","0,112","0,064"
72,China,5585,5650,5520,1516,1508,"0,958","0,705","0,656","0,099","0,142"
73,Paraguay,5578,5689,5467,1555,1409,1130,"0,624","0,629","0,171","0,059"
74,Peru,5559,5679,5439,1890,1397,"0,865","0,735","0,545","0,090","0,037"
75,Montenegro,5547,5681,5413,1619,1573,1023,"0,659","0,460","0,135","0,077"
76,Ecuador,5533,5653,5414,1866,1352,"0,879","0,708","0,565","0,080","0,083"
77,Vietnam,5485,5570,5400,1735,1252,"0,932","0,611","0,707","0,143","0,105"
78,Turkmenistan*,5474,5578,5371,1160,1484,1319,"0,516","0,649","0,314","0,032"
79,North Cyprus*,5467,5609,5325,1078,1815,"0,888","0,819","0,523","0,130","0,213"
80,Russia,5459,5525,5392,1494,1685,1095,"0,586","0,401","0,117","0,080"
81,Hong Kong S.A.R. of China,5425,5501,5348,"0,642",1957,"0,954","0,942","0,400","0,147","0,383"
82,Armenia,5399,5519,5278,1654,1434,"0,820","0,668","0,558","0,054","0,210"
83,Tajikistan,5377,5468,5287,1895,"0,966",1005,"0,518","0,572","0,118","0,304"
84,Nepal,5377,5502,5251,2224,"0,984","0,784","0,499","0,519","0,237","0,130"
85,Bulgaria,5371,5485,5257,1235,1625,1163,"0,640","0,563","0,123","0,021"
86,Libya*,5330,5543,5118,1544,1476,"0,943","0,606","0,477","0,106","0,179"
87,Indonesia,5240,5341,5139,1300,1382,"0,883","0,539","0,620","0,468","0,047"
88,Ivory Coast,5235,5384,5085,2652,1094,"0,442","0,322","0,451","0,149","0,124"
89,North Macedonia,5199,5303,5095,1461,1505,"0,863","0,637","0,488","0,215","0,031"
90,Albania,5199,5321,5076,1718,1439,"0,646","0,719","0,511","0,138","0,028"
91,South Africa,5194,5315,5073,1742,1425,1088,"0,361","0,442","0,089","0,046"
92,Azerbaijan*,5173,5265,5082,1098,1458,1093,"0,560","0,601","0,023","0,341"
93,Gambia*,5164,5409,4918,2531,"0,785","0,621","0,369","0,367","0,388","0,103"
94,Bangladesh,5155,5262,5049,1967,1060,"0,614","0,581","0,622","0,125","0,187"
95,Laos,5140,5263,5018,1709,1239,"0,654","0,479","0,679","0,197","0,184"
96,Algeria,5122,5215,5030,1744,1363,"0,970","0,643","0,146","0,106","0,150"
97,Liberia*,5122,5428,4815,2844,"0,636","0,670","0,309","0,405","0,178","0,080"
98,Ukraine,5084,5190,4978,1331,1411,1081,"0,583","0,473","0,188","0,017"
99,Congo,5075,5235,4915,2658,"0,950","0,405","0,355","0,431","0,130","0,146"
100,Morocco,5060,5181,4938,2405,1208,"0,268","0,565","0,492","0,020","0,102"
101,Mozambique,5048,5273,4823,2641,"0,578","0,660","0,191","0,593","0,185","0,200"
102,Cameroon,5048,5188,4907,2469,"0,968","0,672","0,317","0,397","0,152","0,074"
103,Senegal,5046,5171,4921,2419,"0,933","0,530","0,447","0,494","0,143","0,081"
104,Niger*,5003,5247,4760,2667,"0,570","0,560","0,326","0,571","0,165","0,145"
105,Georgia,4973,5079,4867,1583,1467,"0,612","0,595","0,508","0,000","0,208"
106,Gabon,4958,5091,4826,1892,1459,"0,738","0,396","0,343","0,032","0,099"
107,Iraq,4941,5099,4783,1894,1289,"0,682","0,554","0,328","0,147","0,046"
108,Venezuela,4925,5051,4800,2790,"0,000","0,968","0,578","0,283","0,225","0,082"
109,Guinea,4891,5028,4753,2538,"0,848","0,566","0,275","0,334","0,214","0,116"
110,Iran,4888,4995,4780,1427,1410,"0,741","0,642","0,281","0,241","0,146"
111,Ghana,4872,4999,4745,1972,1112,"0,595","0,409","0,500","0,230","0,056"
112,Turkey,4744,4845,4644,1059,1707,"0,865","0,702","0,209","0,087","0,115"
